file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [21-Apr-2025 15:53:42 UTC] PHP Parse error:  syntax error, unexpected 'string' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /wordpress/wp-content/plugins/digital-events-calendar/includes/admin/class-digital-event-calendar-settings.php on line 33
[21-Apr-2025 15:57:18 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/thumbers/class-thumber-co-thumber.php on line 37
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/class-thumber.php on line 150
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/thumbers/class-audio-video-thumber.php on line 11
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/thumbers/class-audio-video-thumber.php on line 12
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/class-thumber.php on line 150
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/thumbers/class-ghostscript-thumber.php on line 11
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/thumbers/class-ghostscript-thumber.php on line 12
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/class-thumber.php on line 150
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/thumbers/class-imagick-thumber.php on line 18
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/thumbers/class-imagick-thumber.php on line 19
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/thumbers/thumber-co/class-thumber-client.php on line 26
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/thumbers/thumber-co/class-thumber-client.php on line 27
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/class-thumber.php on line 150
[21-Apr-2025 15:57:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/document-gallery/inc/thumbers/class-thumber-co-thumber.php on line 37
