file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [14-Jun-2025 15:29:35 UTC] PHP Warning:  Undefined variable $attachments in /wordpress/wp-content/plugins/my-contact-form/contact.php on line 79
#7 {main}
  thrown in /wordpress/wp-content/plugins/kdk-wprakuten-cd/index.php on line 30
[14-Jun-2025 15:35:38 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/kdk-wprakuten-cd/index.php:30
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): rakuten_media_cd_init('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(727): do_action('init')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/kdk-wprakuten-cd/index.php on line 30
[14-Jun-2025 15:35:48 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/kdk-wprakuten-cd/index.php:30
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): rakuten_media_cd_init('')
