file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [03-May-2025 06:58:15 UTC] PHP Warning:  Undefined variable $default_audiotyped_mbpv_size in /wordpress/wp-content/plugins/audiotyped-ux/audiotyped-ux.php on line 146
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 268
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 268
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 273
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 273
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 278
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 278
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 374
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 374
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 377
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 377
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 380
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 380
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 385
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 385
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 388
[03-May-2025 07:02:32 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/all-in-one-analytics/includes/class-all-in-one-analytics.php on line 388
