file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [20-May-2025 18:58:19 UTC] PHP Deprecated:  Required parameter $value follows optional parameter $result in /wordpress/wp-content/plugins/wp-pusher-slack-notifications/WpPusherSlack/Plugin.php on line 28
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/security.php on line 88
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/security.php on line 105
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/security.php on line 127
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/security.php on line 141
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/security.php on line 155
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/security.php on line 192
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/security.php on line 211
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/security.php on line 230
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/security.php on line 249
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/security.php on line 268
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/security.php on line 282
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/security.php on line 316
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/update.php on line 7
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/update.php on line 21
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/update.php on line 35
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/update.php on line 49
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/update.php on line 63
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/update.php on line 78
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/update.php on line 94
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 7
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 24
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 41
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 58
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 75
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 92
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 109
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 132
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 149
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 166
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 183
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 200
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 217
[20-May-2025 19:02:27 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-clean/condition/widgets.php on line 234
